,v1,v2,v3,v4,v5,k1,k2,k3,k4,k5,f1,f2,f3
Cell line,1.062283182,1.174823578,1.316424546,1.10626044,1.680044158,,,,,,,,
Donor 1,,,,,,100.9026218,,,127.7655984,118.1067459,0.331290745,0.356368382,0.157145209
Donor 2,,,,,,41.39748752,10.77461829,,117.3955269,,0.729127202,0.77643458,0.846945007
Donor 3,,,,,,15.22239154,67.99667402,,49.66926829,63.50271859,0.313009593,0.237771558,0.151194691
Donor 4,,,,,,7.680194268,11.0137129,14.3317216,14.3317216,65.56176038,0.489519815,0.150088575,0.153105325
Donor 5,,,,,,35.3308441,40.50293852,,137.1474251,,0.586722076,0.400950193,0.410754387
Donor 6,,,,,,,89.78538277,67.05515964,56.59561498,69.84541982,0.49893019,0.2815897,0.365081637
