,v1,v2,v3,v4,v5,k1,k2,k3,k4,k5,f1,f2,f3
Cell line,0.9877,1.0677,1.1760,0.9433,1.5408,,,,,,,,
Donor 1,,,,,,38.94581428,64.46272892,41.74030256,92.54414655,107.694196,0.331290745,0.356368382,0.157145209
Donor 2,,,,,,81.99180517,36.09702458,71.53412397,98.81084213,101.0984726,0.729127202,0.77643458,0.846945007
Donor 3,,,,,,88.26536018,,,80.95892609,74.9189125,0.313009593,0.237771558,0.151194691
Donor 4,,,,,,76.19983497,56.11709252,50.61387107,42.5807895,48.4929052,0.489519815,0.150088575,0.153105325
Donor 5,,,,,,70.46086314,128.2408742,,81.25153254,73.50724559,0.586722076,0.400950193,0.410754387
Donor 6,,,,,,32.04581266,18.35285959,31.49880268,31.49880268,59.40827076,0.49893019,0.2815897,0.365081637
