,v1,v2,v3,v4,v5,k1,k2,k3,k4,k5,f1,f2,f3
Cell line,0.987743848,1.067729618,1.17603023,0.943305583,1.540752316,,,,,,,,
Donor 1,,,,,,70.42394737,128.2183482,,81.25034826,73.56026544,0.303733149,0.320288742,0.152017898
Donor 2,,,,,,88.31801342,,,80.94438605,74.90515284,0.646240216,0.675799989,0.834177101
Donor 3,,,,,,38.9222923,64.4667767,,92.5253617,107.6856784,0.245954467,0.201202512,0.14438182
Donor 4,,,,,,32.05595284,18.35956406,31.50076243,31.50076243,59.4255326,0.423998925,0.130318183,0.127452435
Donor 5,,,,,,81.99238853,36.08776656,,98.8327166,101.0600619,0.486088761,0.315979479,0.357833199
Donor 6,,,,,,76.31594468,56.12214851,50.63183836,42.5807895,48.46667319,0.429318504,0.236654016,0.352211003
