"","Vero","Keratinocytes","Fibroblasts"
"V","1.00301640162656","",""
"K1","","2.3349675699162","1.2498980937114"
"K2","","2.34742001215882","1.48610743105508"
"K3","","2.10759725704443","1.27636454890879"
"K4","","2.24395941410115","1.91072224057068"
"K5","","2.23674343257238","1.41914542500255"
"K6","","2.1271873721956","0.888064978433154"
