"","log2(GFP) per hr"
"V",1.00301640162656
"K1",2.3349675699162
"K2",2.34742001215882
"K3",2.10759725704443
"K4",2.24395941410115
"K5",2.23674343257238
"K6",2.1271873721956
"F1",1.2498980937114
"F2",1.48610743105508
"F3",1.27636454890879
"F4",1.91072224057068
"F5",1.41914542500255
"F6",0.888064978433154
